Time	Volt
41526	388
41549	392
41572	403
41595	397
41618	398
41641	398
41664	374
41687	354
41710	349
41733	381
41756	389
41779	391
41802	401
41825	402
41848	376
41871	393
41894	399
41917	403
41940	403
41963	406
41986	405
42009	403
42032	403
42055	403
42078	403
42101	402
42124	409
42147	405
42170	407
42193	406
42220	406
42243	407
42266	404
42289	406
42312	408
42335	408
42358	368
42381	387
42404	393
42427	400
42450	407
42473	403
42496	404
42519	383
42542	392
42565	406
42588	400
42611	408
42634	408
42657	409
42680	411
42703	407
42726	410
42749	409
42772	407
42795	408
42818	405
42841	402
42864	403
42887	408
42910	408
42933	408
42956	407
42979	400
43002	406
43025	375
43048	393
43071	399
43094	402
43117	363
43140	380
43163	394
43186	399
43209	407
43232	403
43255	399
43278	402
43305	404
43328	408
43351	406
43374	414
43397	404
43420	412
43450	366
43473	394
43496	399
43529	400
43706	433
43883	446
44064	458
44088	438
44111	426
44134	418
44157	420
44180	412
44203	376
44226	390
44249	379
44272	351
44295	382
44318	395
44341	393
44364	401
44387	397
44410	397
44433	397
44456	399
44479	401
44502	395
44525	401
44548	402
44571	399
44594	365
44617	380
44640	394
44663	402
44686	405
44709	409
44732	403
44755	407
44778	360
44801	391
44824	394
44851	401
44874	402
44897	406
44920	403
44943	397
44966	409
44989	406
45012	366
45035	385
45058	397
45081	407
45104	405
45127	413
45150	409
45173	407
45196	408
45219	406
45242	408
45265	410
45288	410
45311	408
45334	409
45357	408
45380	406
45403	371
45426	383
45449	390
45472	373
45495	384
45518	404
45541	402
45564	401
45587	409
45610	406
45633	414
45656	405
45679	400
45702	370
45725	389
45748	401
45771	396
45794	369
45817	391
45840	407
45863	362
45886	388
45909	360
45936	387
45959	400
45982	401
46005	409
46028	403
46051	402
46074	402
46097	403
46120	407
46143	397
46166	399
46189	399
46212	403
46235	398
46258	404
46281	401
46304	399
46327	402
46350	404
46373	406
46396	410
46419	404
46442	406
46465	414
46488	404
46511	412
46534	370
46557	395
46580	403
46603	402
46626	409
46649	402
46672	414
46695	412
46718	375
46741	394
46764	369
46794	385
46817	400
46850	408
46873	380
46896	394
46919	373
46942	381
46965	358
46988	381
47015	398
47038	401
47061	408
47084	403
47107	403
47130	410
47153	410
47176	412
47199	408
47222	408
47245	413
47268	402
47291	397
47314	405
47337	405
47360	365
47383	380
47406	399
47429	361
47452	384
47475	394
47498	399
47521	404
47544	380
47567	399
47590	403
47613	405
47636	401
47659	395
47682	403
47705	396
47728	365
47751	383
47774	386
47797	398
47820	391
47843	398
47866	395
47889	405
47912	407
47935	401
47958	407
47981	399
48004	403
48027	400
48050	413
48073	412
48100	411
48123	405
48146	407
48169	402
48192	404
48215	408
48238	365
48261	385
48284	398
48307	394
48330	410
48353	369
48376	389
48399	403
48422	407
48445	411
48468	363
48491	384
48514	356
48537	380
48560	399
48583	397
48606	395
48629	402
48652	409
48675	404
48698	399
48721	405
48744	401
48767	397
48790	404
48813	407
48836	403
48859	397
48882	364
48905	381
48928	387
48951	395
48974	400
48997	412
49020	378
49043	395
49066	393
49089	397
49112	360
49135	380
49158	390
49179	399
49202	396
49225	403
49248	408
49271	405
49294	409
49317	401
49340	400
49363	401
49386	402
49409	404
49432	401
49455	406
49478	404
49501	407
49524	407
49547	406
49570	406
49593	399
49616	397
49646	400
49669	371
49702	395
49725	391
49748	397
49771	392
49794	394
49817	398
49840	392
49863	406
49886	404
49909	401
49932	402
49955	389
49978	387
50001	389
50024	397
50047	401
50070	403
50093	406
50116	406
50139	411
50162	397
50185	395
50208	400
50231	373
50258	393
50281	394
50304	408
50327	400
50350	363
50373	380
50396	383
50419	399
50442	392
50465	400
50488	397
50511	397
50534	406
50557	396
50580	400
50603	405
50626	403
50649	401
50672	400
50695	409
50718	398
50741	378
50764	392
50787	403
50810	403
50833	398
50856	408
50879	406
50902	412
50925	374
50948	390
50971	405
50994	407
51017	416
51040	415
51063	413
51086	838
51109	121
51132	203
51155	48
51178	54
51201	35
51224	116
51247	0
51270	0
51293	0
51316	0
51339	0
51366	286
51389	323
51412	624
51435	502
51458	463
51481	431
51504	421
51527	403
51550	400
51573	409
51596	403
51619	413
51642	413
51665	393
51688	565
51711	566
51734	530
51757	476
51780	437
51803	419
51826	415
51849	405
51872	397
51895	403
51918	403
51941	398
51964	369
51987	376
52010	390
52033	351
52056	381
52079	393
52102	404
52125	410
52148	421
52171	410
52194	412
52217	413
52240	402
52263	396
52286	401
52309	396
52332	374
52355	398
52378	336
52401	381
52428	393
52451	402
52474	399
52504	398
52527	410
52560	413
52583	406
52606	407
52629	406
52652	401
52675	363
52698	379
52721	394
52744	401
52767	395
52790	397
52813	406
52836	398
52859	368
52882	359
52905	389
52928	389
52951	397
52974	406
52997	379
53020	390
53043	399
53066	404
53089	409
53112	409
53135	413
53158	401
53181	407
53204	400
53227	377
53250	354
53273	379
53296	390
53319	356
53342	390
53365	404
53388	399
53411	368
53434	384
53457	406
53480	402
53503	367
53530	389
53553	400
53576	400
53599	402
53622	407
53645	403
53668	411
53691	412
53714	406
53737	410
53760	405
53783	407
53806	409
53829	404
53852	366
53875	386
53898	403
53921	403
53944	406
53967	407
53990	402
54013	408
54036	405
54059	409
54082	399
54105	410
54128	409
54151	402
54174	404
54197	397
54220	407
54243	401
54266	397
54289	397
54312	396
54335	404
54358	399
54381	410
54404	400
54427	399
54450	410
54473	405
54496	410
54519	401
54542	402
54565	233
54592	233
54615	233
54638	234
54661	236
54684	233
54707	230
54730	233
54753	232
54776	232
54799	233
54822	233
54845	230
54868	234
54891	236
54914	234
54937	224
54960	223
54983	218
55006	211
55029	209
55052	207
55075	203
55098	201
55121	197
55144	193
55167	189
55190	191
55213	190
55236	188
55259	190
55282	193
55305	195
55328	199
55351	203
55381	206
55414	206
55437	207
55460	213
55483	218
55506	228
55529	233
55552	232
55575	220
55598	209
55621	206
55644	205
55667	210
55694	213
55717	215
55740	221
55763	222
55786	224
55809	227
55832	231
55855	231
55878	231
55901	233
55924	230
55947	229
55970	231
55993	231
56016	230
56039	231
56062	230
56085	228
56108	227
56131	227
56154	223
56177	219
56200	220
56223	218
56246	216
56269	220
56292	226
56315	231
56338	236
56361	239
56384	242
56407	244
56430	247
56453	247
56476	246
56499	245
56522	241
56545	235
56568	228
56591	223
56614	218
56637	215
56660	217
56683	216
56706	217
56729	219
56752	220
56773	224
56796	222
56819	223
56842	223
56865	216
56888	210
56911	204
56934	197
56957	184
56980	171
57003	150
57026	123
57049	105
57072	99
57095	94
57118	92
57141	91
57164	89
57187	89
57210	89
57233	88
57256	85
57279	84
57302	86
57325	92
57348	97
57371	101
57394	102
57417	103
57440	107
57463	111
57486	116
57509	119
57532	121
57555	121
57578	121
57601	123
57624	123
57647	123
57670	126
57693	127
57716	127
57739	127
57762	127
57785	124
57808	123
57831	121
57858	117
57881	110
57904	98
57927	96
57950	98
57973	98
57996	97
58019	101
58042	104
58065	103
58088	104
58111	106
58134	105
58157	106
58180	105
58203	104
58233	104
58266	100
58289	99
58312	98
58335	95
58358	90
58381	88
58404	84
58427	78
58450	83
58473	96
58496	80
58519	60
58542	47
58565	46
58588	48
58611	53
58634	55
58657	56
58680	60
58703	60
58726	66
58749	72
58772	76
58795	77
58818	80
58841	87
58864	92
58887	99
58910	109
58933	116
58956	123
58979	134
59002	150
59029	159
59052	162
59075	165
59098	168
59121	173
59144	174
59167	175
59190	176
59213	177
59236	177
59259	178
59282	179
59305	179
59328	183
59351	188
59374	193
59397	195
59420	200
59443	205
59466	209
59489	215
59512	221
59535	224
59558	228
59581	231
59604	233
59627	235
59650	236
59673	239
59696	242
59719	248
59742	252
59765	252
59788	252
59811	251
59834	250
59857	248
59880	244
59903	240
59926	240
59949	242
59972	242
59995	242
60018	243
60041	245
60064	247
60091	252
60114	258
60137	265
60160	270
60183	273
60206	274
60229	274
60252	274
60275	274
60298	273
60321	272
60344	271
60367	267
60390	269
60413	269
60436	268
60459	265
60482	259
60505	250
60528	233
60551	216
60574	209
60597	206
60620	203
60643	213
60666	237
60689	261
60712	276
60735	284
60758	296
60781	303
60804	308
60827	309
60850	313
60873	315
60896	321
60919	323
60942	323
60965	321
60988	318
61011	300
61034	259
61057	224
61080	185
61120	102
61143	72
61166	47
61193	36
61216	32
61239	33
61262	34
61285	34
61308	34
61331	35
61354	35
61377	37
61400	48
61423	77
61446	125
61469	167
61492	199
61515	224
61538	237
61561	255
61584	273
61607	299
61630	310
61653	313
61676	317
61699	321
61722	322
61745	323
61768	323
61791	324
61814	322
61837	316
61860	304
61883	278
61906	250
61929	218
61952	197
61975	180
61998	175
62021	173
62044	167
62067	161
62090	166
62113	165
62136	158
62159	158
62182	156
62205	148
62228	142
62251	145
62274	144
62294	143
62317	141
62340	144
62363	145
62386	141
62409	144
62432	147
62455	144
62478	144
62501	154
62524	151
62547	134
62570	128
62593	119
62616	107
62639	103
62662	106
62685	102
62708	101
62731	107
62754	107
62777	102
62800	104
62823	105
62846	100
62869	101
62892	105
62915	103
62938	102
62961	112
62984	112
63007	107
63030	110
63053	109
63076	101
63099	98
63122	102
63145	98
63168	96
63191	101
63214	100
63237	97
63260	101
63283	106
63306	103
63329	103
63356	106
63379	107
63402	111
63425	106
63448	101
63471	103
63494	103
63517	99
63540	101
63563	103
63586	101
63609	103
63632	109
63655	109
63678	110
63701	119
63724	125
63747	125
63770	125
63793	125
63816	111
63839	104
63862	105
63885	98
63908	91
63931	95
63971	95
63994	95
64017	92
64040	95
64063	100
64086	97
64109	96
64132	101
64155	97
64178	95
64201	99
64224	100
64247	96
64270	97
64293	99
64316	95
64339	93
64362	99
64385	96
64408	96
64431	105
64454	112
64477	122
64504	127
64527	117
64550	108
64573	106
64596	96
64619	90
64642	94
64665	91
64688	87
64711	90
64734	92
64757	87
64780	88
64803	95
64826	95
64849	95
64872	107
64895	121
64918	147
64941	176
64964	207
64987	255
65010	270
65033	299
65056	311
65079	313
65102	317
65125	318
65148	317
65171	316
65194	317
65217	319
65240	318
65263	319
65286	317
65309	315
65332	318
65355	317
65378	311
65401	289
65424	229
65447	155
65470	105
65493	67
65516	44
65539	33
65562	30
65585	29
65612	28
65635	27
65658	26
65681	27
65704	26
65727	27
65750	26
65773	27
65796	27
65819	27
65842	27
65865	27
65888	27
65911	28
65934	28
65957	27
65980	27
66003	27
66026	27
66049	27
66072	27
66095	27
66118	27
66141	27
66164	28
66187	27
66210	26
66233	27
66256	26
66279	27
66302	26
66325	27
66348	32
66371	44
66394	65
66417	102
66440	142
66463	181
66486	244
66509	280
66532	311
66555	324
66578	330
66601	336
66624	339
66647	342
66670	342
66693	341
66716	341
66739	342
66766	340
66799	340
66829	340
66852	335
66875	311
66898	271
66921	225
66944	176
66967	123
66990	96
67013	99
67036	104
67059	114
67082	120
67105	124
67128	129
67151	131
67174	135
67197	144
67220	154
67243	174
67266	197
67289	234
67312	271
67335	292
67358	311
67381	321
67404	324
67427	323
67450	323
67473	323
67496	323
67519	323
67542	324
67565	323
67588	324
67611	324
67634	324
67657	324
67680	324
67703	324
67726	324
67749	324
67772	325
67795	325
67818	325
